title,country,genre,director,actors
Американская история X,США, драма,Тони Кэй,"Эдвард Нортон, Эдвард Ферлонг"
Гонка,Великобритания, спорт,Рон Ховард,"Крис Хемсворт, Даниэль Брюль"
Головоломка,США, мультфильм,Пит Доктер,"Эми Полер, Филлис Смит"
Жестокий романс,СССР, драма,Эльдар Рязанов,"Лариса Гузеева, Андрей Мягков"
Курьер,СССР, драма,Карен Шахназаров,"Федор Дунаевский, Анастасия Немоляева"
Игра,США, триллер,Дэвид Финчер,"Майкл Дуглас, Шон Пенн"
Работа без авторства,Германия, биография,Флориан Хенкель фон Доннерсмарк,"Том Шиллинг, Себастьян Кох"
Эффект бабочки,США, фантастика,Эрик Бресс,"Эштон Кутчер, Эми Смарт"
Казино,США, драма,Мартин Скорсезе,"Роберт Де Ниро, Шэрон Стоун"
Мстители: Финал,США, фантастика,Энтони Руссо,"Роберт Дауни мл., Крис Эванс"
12,Россия, триллер,Никита Михалков,"Сергей Маковецкий, Никита Михалков"
Хоббит: Нежданное путешествие,Новая Зеландия, фэнтези,Питер Джексон,"Мартин Фриман, Иэн Маккеллен"
Старикам тут не место,США, триллер,Итан Коэн,"Томми Ли Джонс, Джош Бролин"
Красота по-американски,США, драма,Сэм Мендес,"Кевин Спейси, Аннетт Бенинг"
Вокзал для двоих,СССР, драма,Эльдар Рязанов,"Людмила Гурченко, Олег Басилашвили"
Железный человек,США, фантастика,Джон Фавро,"Роберт Дауни мл., Джефф Бриджес"
Другие,Испания, ужасы,Алехандро Аменабар,"Николь Кидман, Финола Флэнаган"
В погоне за счастьем,США, драма,Габриэле Муччино,"Уилл Смит, Джейден Смит"
Тот самый Мюнхгаузен,СССР, фэнтези,Марк Захаров,"Олег Янковский, Инна Чурикова"
Пленницы,США, триллер,Дени Вильнёв,"Хью Джекман, Джейк Джилленхол"
Шерлок Холмс и доктор Ватсон: Смертельная схватка,СССР, криминал,Игорь Масленников,"Василий Ливанов, Виталий Соломин"
О чём говорят мужчины,Россия, комедия,Дмитрий Дьяченко,"Леонид Барац, Александр Демидов"
Бешеные псы,США, криминал,Квентин Тарантино,"Харви Кейтель, Тим Рот"
"Три билборда на границе Эббинга, Миссури",Великобритания, драма,Мартин Макдона,"Фрэнсис Макдорманд, Сэм Рокуэлл"
